ID_firm_anonym,weights1_all_sample,weights2_3600,weights2_all,lis_e34
F0001,4.25101184844971,6.80359649658203,5.38548469543457,35000
F0003,3.95927572250366,6.33668279647827,5.01589250564575,90000
F0004,4.69892072677612,7.52045869827271,5.9529275894165,12000
F0006,5.59210538864136,8.94996929168701,7.08447742462158,70000
F0011,3.61842107772827,5.79115629196167,4.58407354354858,20000
F0012,17.9999980926514,28.8083686828613,22.8036804199219,35000
F0016,29.4117641448975,47.0725021362305,37.2609176635742,32000
F0017,5.04698896408081,8.07752990722656,6.39388513565063,40000
F0020,13.7499990463257,22.0063934326172,17.4194774627686,60000
F0023,4.25101184844971,6.80359649658203,5.38548469543457,30000
F0024,2.71493220329285,4.34515428543091,3.43946933746338,20000
F0025,2.63157892227173,4.21175003051758,3.33387160301209,40000
F0028,5.57275581359863,8.91900062561035,7.05996370315552,40000
F0037,3.65471625328064,5.84924554824829,4.63005447387695,20000
F0041,16.25,26.0075569152832,20.5866565704346,15000
F0043,3.15789484977722,5.05410051345825,4.00064611434937,40000
F0052,2.68817186355591,4.09346389770508,3.44679713249207,10000
F0056,2.26244354248047,3.62096166610718,2.86622452735901,35000
F0057,5.05722665786743,8.09391403198242,6.4068546295166,20000
F0059,6.92041540145874,11.0758829116821,8.76727485656738,30000
F0062,5.05722665786743,8.09391403198242,6.4068546295166,22000
F0063,3.22580647468567,4.91215658187866,4.13615655899048,111000
F0064,2.26244354248047,3.62096166610718,2.86622452735901,110000
F0068,4.24208116531372,6.78930282592773,5.37417078018188,140000
F0069,3.22580647468567,4.91215658187866,4.13615655899048,70000
F0070,5.19031143188477,8.30691242218018,6.57545614242554,80000
F0071,4.80769205093384,7.69454336166382,6.09072685241699,15000
F0072,4.25871706008911,6.81592798233032,5.39524602890015,82000
F0073,23.0769233703613,36.9338073730469,29.2354888916016,16800
F0074,4.52488708496094,7.24192333221436,5.73244905471802,33000
F0079,17.6923084259033,28.3159217834473,22.413875579834,12000
F0083,4.25101184844971,6.80359649658203,5.38548469543457,24500
F0084,5.72265100479126,9.15890312194824,7.24986171722412,40000
F0086,2.41935467720032,3.68411755561829,3.10211753845215,16000
F0087,2.82258057594299,4.29813718795776,3.61913704872131,20000
F0089,25.8823528289795,41.4238014221191,32.789608001709,40000
F0090,4.85829925537109,7.77553844451904,6.15483951568604,10000
F0091,5.66801643371582,9.07146263122559,7.1806468963623,48000
F0092,2.63157892227173,4.21175003051758,3.33387160301209,24000
F0093,4.80769205093384,7.69454336166382,6.09072685241699,100000
F0094,4.25101184844971,6.80359649658203,5.38548469543457,30000
F0097,3.22580647468567,4.91215658187866,4.13615655899048,50000
F0098,5.26315784454346,8.42350006103516,6.66774320602417,28000
F0100,18.4615383148193,29.547046661377,23.3883895874023,38000
F0101,2.26244354248047,3.62096166610718,2.86622452735901,31000
F0107,4.35085296630859,6.96338796615601,5.51197052001953,16000
F0108,4.25101184844971,6.80359649658203,5.38548469543457,43000
F0111,4.95356035232544,7.92800045013428,6.27552318572998,15000
F0115,3.22580647468567,4.91215658187866,4.13615655899048,30000
F0120,2.82258057594299,4.29813718795776,3.61913704872131,80000
F0125,2.9569890499115,4.50281047821045,3.79147696495056,60000
F0126,25,40.0116271972656,31.6717796325684,80000
F0127,2.71493220329285,4.34515428543091,3.43946933746338,50000
F0128,5.85573625564575,9.371901512146,7.41846370697021,66000
F0131,4.95356035232544,7.92800045013428,6.27552318572998,30000
F0132,5.66801643371582,9.07146263122559,7.1806468963623,50000
F0133,3.22580647468567,4.91215658187866,4.13615655899048,50000
F0136,3.6199095249176,5.79353857040405,4.58595895767212,50000
F0138,4.52488708496094,7.24192333221436,5.73244905471802,14000
F0139,5.87044525146484,9.39544296264648,7.43709850311279,30000
F0140,23.75,38.011043548584,30.0881900787354,30000
F0141,5.87044525146484,9.39544296264648,7.43709850311279,10000
F0142,3.22580647468567,4.91215658187866,4.13615655899048,20000
F0144,3.22580647468567,4.91215658187866,4.13615655899048,25000
F0145,3.6199095249176,5.79353857040405,4.58595895767212,40000
F0151,3.67647051811218,5.88406229019165,4.65761470794678,15000
F0153,3.11085963249207,4.97882223129272,3.94105839729309,150000
F0157,13.9999990463257,22.4065093994141,17.7361965179443,30000
F0161,4.12563180923462,6.60293006896973,5.22664451599121,10000
F0164,16,25.6074409484863,20.2699394226074,21000
F0166,2.9569890499115,4.50281047821045,3.79147696495056,150000
F0167,4.00278472900391,6.40631723403931,5.07101249694824,10000
F0168,4.95356035232544,7.92800045013428,6.27552318572998,15000
F0170,2.26244354248047,3.62096166610718,2.86622452735901,15000
F0171,5.87044525146484,9.39544296264648,7.43709850311279,60000
F0175,3.82875061035156,6.1277813911438,4.85053396224976,50000
F0178,4.24208116531372,6.78930282592773,5.37417078018188,60000
F0185,5.88235330581665,9.41450023651123,7.45218372344971,20000
F0187,6.5789475440979,10.5293750762939,8.33467864990234,50000
F0195,4.87295532226563,7.79899454116821,6.17340660095215,12000
F0196,2.9569890499115,4.50281047821045,3.79147696495056,40000
F0197,5.41795682907104,8.67125034332275,6.86385345458984,55000
F0199,4.25101184844971,6.80359649658203,5.38548469543457,75000
F0201,19.4117641448975,31.0678520202637,24.5922069549561,10000
F0206,2.26244354248047,3.62096166610718,2.86622452735901,40000
F0210,5.9210524559021,9.47643756866455,7.50121116638184,120000
F0215,13.7499990463257,22.0063934326172,17.4194774627686,25000
F0223,4.79876136779785,7.68025016784668,6.07941293716431,50000
F0224,12,19.2055816650391,15.2024545669556,10000
F0225,2.41935467720032,3.68411755561829,3.10211753845215,15000
F0226,17.4999980926514,28.0081367492676,22.1702442169189,10000
F0229,6.92041540145874,11.0758829116821,8.76727485656738,80000
F0230,3.22580647468567,4.91215658187866,4.13615655899048,100000
F0233,4.25101184844971,6.80359649658203,5.38548469543457,12000
F0236,3.67647051811218,5.88406229019165,4.65761470794678,10000
F0240,5.37330293655396,8.5997838973999,6.8072829246521,10000
F0244,2.41935467720032,3.68411755561829,3.10211753845215,12000
F0246,3.22580647468567,4.91215658187866,4.13615655899048,30000
F0247,26.4705867767334,42.3652496337891,33.5348243713379,20000
F0248,3.65471625328064,5.84924554824829,4.63005447387695,30000
F0250,2.71493220329285,4.34515428543091,3.43946933746338,90000
F0254,4.3918023109436,7.02892589569092,5.56384754180908,15000
F0260,7.05350017547607,11.2888813018799,8.93587684631348,30000
F0261,2.26244354248047,3.62096166610718,2.86622452735901,24000
F0262,4.3918023109436,7.02892589569092,5.56384754180908,40000
F0266,6.07287454605103,9.71942329406738,7.69355010986328,35000
F0270,3.22580647468567,4.91215658187866,4.13615655899048,45000
F0271,4.85829925537109,7.77553844451904,6.15483951568604,85000
F0273,2.26244354248047,3.62096166610718,2.86622452735901,100000
F0275,5.45648145675659,8.73290729522705,6.91265916824341,100000
F0286,6.8111457824707,10.9010009765625,8.62884426116943,21000
F0288,4.3918023109436,7.02892589569092,5.56384754180908,60000
F0291,13.9999990463257,22.4065093994141,17.7361965179443,30000
F0295,2.41935467720032,3.68411755561829,3.10211753845215,40000
F0296,2.82258057594299,4.29813718795776,3.61913704872131,80000
F0297,10,16.0046501159668,12.6687116622925,30000
F0308,17.6923084259033,28.3159217834473,22.413875579834,90000
F0312,5.57275581359863,8.91900062561035,7.05996370315552,15000
