"","ID_firm_anonym","end_G17"
"314","F1372",1e+05
"315","F1382",10000
"316","F1386",1e+05
"317","F1402",40000
"318","F1405",20000
"319","F1411",3000
"320","F1414",45000
"321","F1416",150000
"322","F1417",30000
"323","F1426",150000
"324","F1431",50000
"325","F1436",2e+05
"326","F1444",20000
"327","F1455",36000
"328","F1457",10000
"329","F1461",70000
"330","F1462",60000
"331","F1466",12000
"332","F1472",15000
"333","F1492",2e+05
"334","F1499",150000
"335","F1500",35000
"336","F1509",148000
"337","F1510",150000
"338","F1512",0
"339","F1514",360000
"340","F1529",25000
"341","F1535",140000
"342","F1541",2500
"343","F1549",8000
"344","F1550",60000
"345","F1552",85000
"346","F1560",1e+05
"347","F1562",480000
"348","F1563",45000
"349","F1565",24000
"350","F1566",50000
"351","F1571",95000
"352","F1573",70000
"353","F1576",40000
"354","F1578",150000
"355","F1580",35000
"356","F1584",5000
"357","F1588",0
"358","F1596",3000
"359","F1613",1e+05
"360","F1614",0
"361","F1615",150000
"362","F1618",120000
"363","F1619",120000
"364","F1631",25000
"365","F1632",55000
"366","F1635",8960
"367","F1636",150000
"368","F1637",150000
"369","F1638",0
"370","F1640",40000
"371","F1642",150000
"372","F1643",20000
"373","F1648",30000
"374","F1649",5000
"375","F1661",12000
"376","F1664",30000
"377","F1665",75950
"378","F1667",150000
"379","F1669",60000
"380","F1672",30000
"381","F1676",25000
"382","F1686",150000
"383","F1687",50000
"384","F1689",0
"385","F1690",0
"386","F1693",40000
"387","F1695",30000
"388","F1709",40000
"389","F1713",65000
"390","F1719",85000
"391","F1721",1500
"392","F1723",-15000
"393","F1724",10000
"394","F1726",50000
"395","F1727",28000
"396","F1729",60000
"397","F1731",8000
"398","F1736",20000
"399","F1740",8e+05
"400","F1754",150000
"401","F1755",80200
"402","F1756",50000
"403","F1757",-28000
"404","F1758",5000
"405","F1763",10000
"406","F1764",0
"407","F1768",40000
"408","F1774",53000
"409","F1777",15000
"410","F1778",10000
"411","F1783",1e+05
"412","F1784",50000
"413","F1796",50000
"414","F1808",120000
"415","F1813",60000
"416","F1821",50000
"417","F1822",120000
"418","F1832",20000
"419","F1834",115500
"420","F1836",2e+05
"421","F1837",0
"422","F1838",40000
"423","F1846",15000
"424","F1847",40000
"425","F1848",10000
"426","F1854",250000
"427","F1861",4800
"428","F1866",30000
"429","F1870",12000
"430","F1871",0
"431","F1872",15000
"432","F1880",42000
"433","F1882",90000
"434","F1888",5000
"435","F1892",8000
"436","F1900",40000
"437","F1902",750000
"438","F1903",7000
"439","F1904",80000
"440","F1905",6e+05
"441","F1912",150000
"442","F1915",15000
"443","F1916",60000
"444","F1918",4e+05
"445","F1920",125000
"446","F1924",30000
"447","F1925",18000
"448","F1927",10000
"449","F1932",30000
"450","F1934",1e+05
"451","F1935",2000
"452","F1936",0
"453","F1938",60000
"454","F1949",60000
"455","F1953",8000
"456","F1956",54000
"457","F1978",70000
"458","F1980",2e+05
"459","F1983",130000
"460","F1990",170000
"461","F1996",35000
"462","F1999",70000
"463","F2002",20000
"464","F2008",50000
"465","F2021",80000
"466","F2022",55000
"467","F2026",84000
"468","F2027",50000
"469","F2034",15000
"470","F2035",40000
"471","F2037",180000
"472","F2048",15000
"473","F2052",48000
"474","F2053",80000
"475","F2057",60000
"476","F2061",15000
"477","F2063",50000
"478","F2065",30000
"479","F2073",13000
"480","F2075",30000
"481","F2084",15000
"482","F2089",24000
"483","F2096",20000
"484","F2101",134000
"485","F2103",3e+05
"486","F2105",20000
"487","F2107",10000
"488","F2111",12000
"489","F2113",6400
"490","F2118",5000
"491","F2119",40000
"492","F2123",120000
"493","F2124",38000
"494","F2127",30000
"495","F2129",20000
"496","F2136",30000
"497","F2139",40000
"498","F2141",10000
"499","F2147",15000
"500","F2151",25000
"501","F2155",260000
"502","F2160",50000
"503","F2163",45000
"504","F2167",50000
"505","F2185",20000
"506","F2199",5000
"507","F2205",0
"508","F2206",1000
"509","F2209",1e+05
"510","F2210",96000
"511","F2211",15000
"512","F2223",0
"513","F2228",70000
"514","F2230",75000
"515","F2231",10000
"516","F2232",0
"517","F2235",280000
"518","F2244",10000
"519","F2250",5000
"520","F2253",30000
"521","F2257",1e+05
"522","F2263",35000
"523","F2266",20000
"524","F2275",15000
"525","F2278",12000
"526","F2279",18000
"527","F2286",55000
"528","F2288",20000
"529","F2293",60000
"530","F2298",0
"531","F2308",5000
"532","F2311",60000
"533","F2314",25000
"534","F2315",55000
"535","F2316",80000
"536","F2322",50000
"537","F2325",20000
"538","F2329",-150000
"539","F2333",50000
"540","F2335",1000
"541","F2337",65000
"542","F2338",15000
"543","F2339",20000
"544","F2348",8e+05
"545","F2353",75000
"546","F2366",28000
"547","F2368",0
"548","F2372",40000
"549","F2373",450000
"550","F2377",90000
"551","F2381",15000
"552","F2383",41000
"553","F2387",60000
"554","F2390",30000
"555","F2392",150000
"556","F2393",15000
"557","F2398",35000
"558","F2401",10000
"559","F2402",80000
"560","F2408",35000
"561","F2409",150000
"562","F2410",60000
"563","F2414",75000
"564","F2418",80000
"565","F2419",8000
"566","F2427",120000
"567","F2428",10000
"568","F2430",14000
"569","F2434",25000
"570","F2435",25000
"571","F2438",30000
"572","F2441",5000
"573","F2444",28000
"574","F2451",30000
"575","F2456",70000
"576","F2458",18000
"577","F2460",6000
"578","F2461",0
"579","F2468",40000
"580","F2470",120000
"581","F2474",30000
"582","F2479",150000
"583","F2483",30000
"584","F2487",13000
"585","F2488",15000
"586","F2489",37000
"587","F2490",3e+05
"588","F2492",40000
"589","F2495",30000
"590","F2496",45000
"591","F2509",30000
"592","F2512",20000
"593","F2513",20000
"594","F2515",110000
"595","F2517",250000
"596","F2522",0
"597","F2523",5000
"598","F2525",60000
"599","F2528",5000
"600","F2534",8000
"601","F2543",20000
"602","F2550",120000
"603","F2568",30000
"604","F2569",2e+05
"605","F2578",30000
"606","F2599",20000
"607","F2604",50000
"608","F2605",20000
"609","F2610",2500
"610","F2618",28000
"611","F2619",45000
"612","F2620",50000
"613","F2621",10500
"614","F2628",3e+05
"615","F2629",8000
"616","F2642",80000
"617","F2643",15000
"618","F2647",0
"619","F2650",30000
"620","F2652",37000
"621","F2656",1e+05
"622","F2668",15000
"623","F2675",75000
"624","F2677",8000
"625","F2680",15000
"626","F2681",5000
"627","F2684",3e+05
